ID,Filename,RawTokenCount,ماما,بابا,الله,دين,دين٢,تربية,ربنا,صلاة,صلاة٢,gender,separate
1,UM01,4625,0,0,1,2,0.043243243,20,6,0,0,F,N
2,UB02,9754,0,0,5,28,0.287061718,7,3,1,0.010252204,M,Y
3,UM03,12008,3,2,4,16,0.133244504,5,6,9,0.074950033,F,N
4,UB03,4426,1,1,0,23,0.519656575,26,1,10,0.225937641,M,Y
5,UM04,10521,3,1,9,26,0.247124798,11,11,18,0.171086399,F,Y
7,UM05,2521,1,2,2,7,0.277667592,3,2,0,0,F,N
8,UB05,18873,13,15,23,7,0.037090023,9,14,11,0.058284322,M,Y
9,UM06,6197,4,0,1,12,0.193642085,7,6,2,0.032273681,F,Y
10,UB06,2385,1,0,0,12,0.503144654,3,2,16,0.670859539,M,N
11,UM07,2685,1,0,2,13,0.484171322,4,12,6,0.223463687,F,Y
12,UM08,12167,3,0,4,20,0.164379058,10,9,11,0.090408482,F,N
13,UM09,13176,61,24,38,9,0.068306011,18,17,32,0.242865817,F,N
14,UB09,15222,11,19,4,17,0.111680462,25,6,22,0.144527657,M,N
15,UM10,16787,39,8,21,10,0.059569905,20,22,5,0.029784953,F,Y
16,UB10,10706,12,7,5,38,0.354941154,17,18,15,0.14010835,M,N
17,UM11,11718,30,16,11,15,0.128008193,12,0,0,0,F,N
18,UM12,14221,23,33,24,37,0.260178609,14,6,10,0.070318543,F,Y
19,UB12,14221,23,33,24,37,0.260178609,14,6,10,0.070318543,M,Y
