ID,text,user_followers_count,user_friends_count,user_location
1,"RT @Coolcatdizi: Kate + Anthony | You got power over me

""You are the bane of my existence and the object of all my desires.""

FULL VIDEO:https://t.co/dmV07l8oda

#Bridgerton #BridgertonSeason2 #Kathony #anthonyandkate #KateSharma #AnthonyBridgerton #SimoneAshley #JonathanBailey https://t.co/hRtKZJNVfb",2731,1270,velaris
2,Anthony needs to watch his tone #Bridgerton,256,679,Canada
3,RT @Halz_15: the way this man didn’t occupy a single second of my thoughts while watching season 2 💀💀💀 #Bridgerton https://t.co/xWYEupmbZK,1098,1464,"Cape Town, South Africa"
4,"ñ velho mas agr me deu MUITO ódio, pq mudaram a história TODA de kathony mas não pensaram em UM PLOT pra substituir aquela cena PODRE CRIMINOSA na s1????
#Bridgerton",1299,1088,
5,RT @jolangfrds: simone ashley as kate sharma is the most perfect casting ever #bridgerton https://t.co/PXoee9xOa1,1480,3540,gotham city
6,Can’t believe I watched all episodes in a day 🤯#Bridgerton,2319,1865,Home sweet home
7,RT @niiikkiiix: The way Anthony smelled up Kate like this. Phewwwwwwwww #Bridgerton https://t.co/HlQYHuORJT,929,2312,Na cama do Bucky Barnes
8,"RT @elainfavs: alguém explica pra Netflix que a Edwina é FIGURANTE e a kate PROTAGONISTA e não ao contrário, por que eu acho que não entenderam #Bridgerton",406,641,embaixo do trenó do Papai Noel
9,"𝐀𝐧𝐠𝐞𝐥 : @AlyysaShahab 

+6285695755702

#AvailSurabaya 
#ShemaleSurabaya 
#RealAngel
#RealAccount 
#IndonesianTG 
#Bridgerton https://t.co/SbO8tFmMSd",1162,8,
10,THIS WEDDING 🤣 #Bridgerton https://t.co/zX1oJ8en0Z,455,150,CAN
11,RT @nightfvlll: edwina’s pissing me off ngl but this was pretty funny #Bridgerton #bridgerton2 #BridgertonSpoilers https://t.co/Qhb0sLbEFz,1905,1832,🇵🇭
12,"RT @DeckerstarLove6: Em um momento obscuro ele foi quase forçado a escolher entre Hyacinth e Violet, imagine o quão infeliz ele seria sem uma das suas meninas ? #Bridgerton https://t.co/y7V8ptARaT",153,112,"Brasília, Brasil"
13,"O Benedict abre a boca e eu já começo a rir kkkkkkkkk

#Bridgerton",1412,1948,47/50 📚 🏒
14,RT @myqueenzoya: she’s so me #Bridgerton https://t.co/OkVE79yLVU,145,278,probably annoying fabian
15,"RT @TanoAlessio: #Bridgerton #bridgertonseason2 
the jonas brothers if they were living in the late 1800: https://t.co/A0nMhNQNet",395,769,
16,RT @Zoe_Archer: psst if you liked the poetry reading in #Bridgerton there's a poetry duel in THE GOOD GIRL'S GUIDE TO RAKES,6109,4739,NW MO ➡️ NoVA
17,"RT @cxlinbridgerton: você sabia? para interpretar o coringa, joaquin phoenix teve que assistir 5 episódios de anthony e edwina cortejando
#bridgerton",6303,6231,poppycas and jurdan!¡
18,Alright here we go #Bridgerton S2. I’m so excited!! https://t.co/OD22OqZHsx,1432,575,
19,only 1 episode in and it's so much better than the s1 snoozefest #Bridgerton https://t.co/X4ZPM5u5tk,334,245,he/him 20
20,RT @bridgertonfav: a energia caótica dos dois nessa cena 😂❤️ #Bridgerton https://t.co/GCPHPtiCNP,1031,1413,
21,"RT @CindyLu_Helal: Gnt, sério! Eu sei q a série está longe de ser fiel ao livro, na vdd ela tomou rumos bem diferentes, mas ainda sim ela está muito boa. Não ataquem, ela tem a sua essência❤

COMO FÃ EU AMEI
#Bridgerton",153,112,"Brasília, Brasil"
22,"RT @kynbridgerton: #Kathony eu to rendida por eles

#Bridgerton https://t.co/svnYyKbXuW",5813,5920,jade thirlwall
23,"RT @duamapu: A Edwina: ah é uma boa oportunidade para eles se conhecerem melhor 

A Dapnhe pensando: Bixa tu não sabe a merda que você fez #Bridgerton https://t.co/Q3XhHSqiup",538,1024,"Ceará, Brasil"
24,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",1031,1413,
25,"RT @_m4nel1: a Daphne nesse mood aqui toda vez que vê o Anthony e a Kate implicando/conversando um com o outro 
#Bridgerton 
#bridgertonseason2 https://t.co/meYMUrRTcl",446,1206,
26,RT @myqueenzoya: she’s so me #Bridgerton https://t.co/OkVE79yLVU,588,387,she/her
27,RT @NoContxtBR: #Bridgerton https://t.co/AaqVlSVTsY,200,558,
28,RT @jolangfrds: simone ashley as kate sharma is the most perfect casting ever #bridgerton https://t.co/PXoee9xOa1,395,769,
29,RT @christycarlyle: Don’t mind me I will be liking #Bridgerton hashtagged posts all day just for the jolt of serotonin I get when the B becomes a bee https://t.co/a3hvzb4teu,1534,1852,"Bay Area, CA"
30,RT @unIecteur: eles sorrindo no meio do beijo... que casal minha gente que casal ❤️ #Bridgerton https://t.co/R6GMCQxo1f,153,112,"Brasília, Brasil"
31,RT @tvrkishhdelight: I‘ll never forgive Shonda Rhimes and Chris van Dusen for this #Bridgerton https://t.co/5RsQZhfDoe,2731,1270,velaris
32,RT @saintnikolais: edwina when anthony picks up kate’s bangle instead of saying i do #Bridgerton https://t.co/0mowfgo9Uv,608,169,they/she/22/black
33,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",20003,12842,"you are my daily seretonin, 𝗸𝗼𝗼 !"
34,"RT @Lad_Whistledown: Spoiler bridgerton 
.
.
.
.
.
.
Anthony tão feliz que não consegue parar de sorrir nem enquanto beija

#Bridgerton https://t.co/XmZWWLYNgu",153,112,"Brasília, Brasil"
35,"RT @TanoAlessio: #Bridgerton #bridgertonseason2 
the jonas brothers if they were living in the late 1800: https://t.co/A0nMhNQNet",249,620,
36,Can I just take a moment to mention the art direction for #Bridgerton ? So beautifully done,959,955,Mparntwe
37,RT @fvscassian: GENTE COMO EU FIQUEI IMPACTADA AQUI #Bridgerton https://t.co/YB0JdaF8Ix,6998,7653,chalé 6
38,"RT @firearitan: Tiraram tanta cena importante.
Mudaram tanta coisa.

- A cena da abelha.
- A tempestade
- Edwina 

#Bridgerton https://t.co/Mjhq0UJZPQ",640,183,Brasil
39,"RT @_rai_all: Anthony dando pane no sistema quando a Kate levantou o vestido pra passar por um tronco e deixou a pernona linda de fora FOI OQ EU PEDI SIM
#Bridgerton #bridgertonseason2 https://t.co/vq6DkYg97m",446,1206,
40,"RT @vandanaiscool: i wrote about sisterhood, haldi, and the ways cultural tradition serves as an alternative form of intimacy in the new season of #bridgerton for @teenvogue! pls give it a read, put the K3G string cover on, feel the feelings. 💫💛🌻 https://t.co/KmAyhNlV8J",339,796,Amiskwaciwâskahikan / ᐊᒥᐢᑲᐧᒋᐋᐧ
41,"RT @booksumers: todos concordamos que o benedict chapado foi a melhor coisa dessa temporada né?
#Bridgerton
https://t.co/tibXjEwNL6",7946,8683,crf • fcbm • cfc • rmcf • patriots • isles • lakers
42,"RT @diannasabrina: Mano trocaram toda a personalidade da Edwina, ela nunca falaria que é meia-irmã da kate.
Mds a Edwina dos livros foi a primeira a perceber kathony e super apoiava os dois, já a da série parece uma adolescente com os hormônios a flor da pele.
#Bridgerton",318,820,
43,Whoa what??? #Bridgerton,7346,345,NTMJ Follows ♡ Mx20 Sx2 ♡
44,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,200,558,
45,"Socoooorro, fiquei sem fôlego, coração acelerou aqui, tem criança passando mal #Bridgerton",193,531,"São Paulo, BRA"
46,"RT @aelinsgod: bridgerton spoilers
.
.
.
estragaram a irmandade das irmãs sharma ao ponto DO QUE? eu tô até agora procurando razão pra tudo, esse drama todo pelo amor de deus tudo no livro é tão prático e divertido e virou essa novela mexicana desnecessária na série 
#bridgerton",5266,4148,
47,"RT @Lad_Whistledown: TEORIA (PODEM ME COBRAR)

Assim como tivemos Daph bem presente ajudando tudo e ligando os pontos, nas próximas teremos uma participação ENORME de Kate e Anthony mais maduros carregando o título de visconde que viscondessa

#bridgerton",153,112,"Brasília, Brasil"
48,Also penny didn’t deserve such a trash friend! #Bridgerton,180,188,"NC, VA and Beyond!!!"
49,RT @jonnybaeley: KATE AND ANTHONY BRIDGERTON ARE HAPPILY MARRIED AND IT'S ALL THAT MATTERS 😭😭😭 #Bridgerton https://t.co/56MN6VY9bG,776,2523,
50,RT @TheBestParker_: The way they changed Kate’s full name from Katharine to Kathani…and that the Viscount called her this 😩❤️🔥❤️‍🔥😭🐝 #Bridgerton  #Kanthony  #Bridgerton2 https://t.co/53aqUbLUSz,1905,1832,🇵🇭
51,"RT @maria_mimss: anthony to daphne : but NOTHING HAPPENED

anthony in the library 5 seconds earlier :

#Bridgerton https://t.co/mPpUOw48h9",449,289,"California, USA"
52,"RT @QueenLionessK: Lady Whistledown: Dearest gentle reader....did you miss me?
Me:
#Bridgerton #bridgertonseason2 https://t.co/gVeovsfbfY",395,769,
53,RT @S3THMER: the progression of kate's hair getting less neat throughout the season as she opens herself up to love is something so personal to me #Bridgerton https://t.co/ZlQceNBDb6,934,296,
54,he literally told her he’s gonna be thinking about her the entire time he is married im weakkkkk #bridgerton,514,837,black • she/her • 19
55,"SPOILER BRIDGERTON 

.

.

.

não mas o philip crane com seus 5 seg de tela perfeito. Ele sorrindo daquele jeito pro colin imagina quando for pra eloise #Bridgerton",2467,2477,in dev patel's heart
56,RT @bridgerton: The Viscount and Miss Sharma may not be the only pair with a love and hate dynamic. #Bridgerton https://t.co/je4NUc1CHm,200,558,
57,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",232,253,clayliv my home
58,"RT @iris_bee_: these two WRECKED me. they were perfect. no one could’ve played Kate and Anthony better, with more nuance, with more understanding and care. I owe them everything I love about this season, I owe them my joy. 💜 #Bridgerton #bridgerton2 #Kanthony https://t.co/kGzM2POKoU",1905,1832,🇵🇭
59,Eu queria ver ele noivo da Kate pq foram pegos no flagra etc etc..... #Bridgerton https://t.co/kNdiNvUIeA,2134,698,"Bahia, Brasil"
60,"Essa cena aqui meus amigos.... 
#Bridgerton https://t.co/Yj6aYK1Hwn",2228,3565,|📘: DUNA
61,a relação da kate com a mary é tão bonita #Bridgerton https://t.co/rWg2yssmxs,1437,1066,she/her • intj • ben barnes gf
62,Where’s the spinoff where Edwina become a princess? I need it yesterday. #Bridgerton,312,87,
63,RT @kathanisharma: HOW MANY FINGERS #bridgerton https://t.co/2YyWRqdgMb,6303,6231,poppycas and jurdan!¡
64,Bee stings. But sexy. #Bridgerton,148,126,Australia
65,RT @KateThornley3: Me after bingeing the entire new season in a day #Bridgerton https://t.co/s7ZB2rVKrZ,145,278,probably annoying fabian
66,I finished S2 of #Bridgerton,680,678,
67,"RT @nancyswheeIer: “you are the bane of my existence and the object of all my desires.” 

#bridgerton https://t.co/oiMklX09gE",2566,4459,
68,Charlie's Angels: regency era 😚✨#Bridgerton https://t.co/SMEyXNh80Q,1713,170,❄ Hosu University Attic ❄
69,"RT @ladygbson: o melhor de tudo foi a simone e o jonny que conseguiram entregar TUDO como kate e anthony!!!!!! a química de MILHÕES, eles foram perfeitos ❤️ #Bridgerton #bridgertonseason2 https://t.co/34eu26x9Th",2488,272,"Belo Horizonte, Brasil"
70,"anthony sta mettendo a dura prova i sentimenti che provo per benedict da molto tempo 
#Bridgerton",1870,2141,
